TOP 30157585 R. H...c  98 4 2018    88  2   6 au[02](Sangseok Lee) What is the proper way to apply the multiple comparison test? KEY Lee_2018
CIT 31450836 RP .AM..  24 2 2019     1  0  38 au[10](Xiaoling Zhou) Sweet Corn Stalk Treated with <i>Saccharomyces Cerevisiae</i> Alone or in Combination with <i>Lactobacillus Plantarum</i>: Nutritional Composition, Fermentation Traits and Aerobic Stability.
CIT 31681162 RP H....  22 2 2019     2  0  25 au[04](Igor Petrusic) Application of the Migraine Aura Complexity Score (MACS): Clinical and Neuroimaging Study.
CIT 31215803 RP HAM..  17 2 2019     2  0  50 au[05](Serkan Karakus) Urinary dysfunction in transgenic sickle cell mice: model of idiopathic overactive bladder syndrome.
CIT 30476886 RP H....   8 1 2019     1  0  21 au[01](Paula Midori Castelo) Improving the quality of data presentation in health sciences.
6 of 6 References downloaded:
REF 28740688 .. H...c  99 4 2017   124 10   4 au[03](Shi-Yi Chen) A general introduction to adjustment for multiple comparisons.
REF 27924194 .. H...c  98 4 2016    89  9  12 au[01](Dong Kyu Lee) Alternatives to P value: confidence interval and effect size.
REF 24697967 .. H...c 100 4 2014   641 60  58 au[01](Richard A Armstrong) When to use the Bonferroni correction.
REF 21729890 .. H...c  98 4 2011   240 34   5 au[02](David L Streiner) Correction for multiple testing: is there a resolution?
REF 28184262 .. .....  79 3 2017    20  0   4 au[01](Tae Kyun Kim) Understanding one-way ANOVA using conceptual figures.
REF 27274365 .. H....  32 2 2016     6  0  16 au[01](Sangseok Lee) Avoiding negative reviewer comments: common statistical errors in anesthesia journals.

